,BTC-USD,ETH-USD,DOGE-USD,ADA-USD,SOL-USD,SHIB-USD,XRP-USD
13/12/2020,0,0,0,0,0,0,1
14/12/2020,1,1,0,0,0,0,1
15/12/2020,1,1,0,0,0,0,1
16/12/2020,1,1,0,0,0,0,1
17/12/2020,1,1,0,0,0,0,1
18/12/2020,1,1,0,0,0,0,1
19/12/2020,1,1,0,0,0,0,1
20/12/2020,1,1,0,0,1,0,1
21/12/2020,1,1,0,0,0,0,1
22/12/2020,1,1,0,0,0,0,1
23/12/2020,0,1,0,0,0,0,0
24/12/2020,1,1,0,0,0,0,1
25/12/2020,1,1,0,0,0,0,1
26/12/2020,1,1,0,0,1,0,1
27/12/2020,0,1,0,0,0,0,1
28/12/2020,1,1,0,0,0,0,1
29/12/2020,1,1,0,0,0,0,1
30/12/2020,1,1,0,0,0,0,1
31/12/2020,1,1,0,0,0,0,1
1/1/2021,1,1,0,0,0,0,1
2/1/2021,1,1,1,0,0,0,1
3/1/2021,1,1,1,0,0,0,1
4/1/2021,1,1,0,0,0,0,1
5/1/2021,1,1,1,0,0,0,1
6/1/2021,1,1,0,0,0,0,1
7/1/2021,1,1,1,0,0,0,1
8/1/2021,1,1,1,0,0,0,1
11/1/2021,1,1,0,0,0,0,1
12/1/2021,1,1,1,0,0,0,1
14/1/2021,1,0,1,0,0,0,1
15/1/2021,0,0,0,0,0,0,1
16/1/2021,1,0,0,0,0,0,1
17/1/2021,1,0,0,0,0,0,0
18/1/2021,1,1,0,0,0,0,1
19/1/2021,1,1,1,0,0,0,1
20/1/2021,1,0,0,0,1,0,1
21/1/2021,1,0,0,0,0,0,1
23/1/2021,1,0,0,0,0,0,1
24/1/2021,1,0,0,0,0,0,1
27/1/2021,1,0,0,0,0,0,0
28/1/2021,1,1,1,0,0,0,1
29/1/2021,0,1,1,0,0,0,1
30/1/2021,1,1,1,0,0,0,1
31/1/2021,1,1,1,0,0,0,1
1/2/2021,1,1,1,0,1,0,1
2/2/2021,1,1,1,0,0,0,1
3/2/2021,1,1,1,0,0,0,1
4/2/2021,1,1,1,0,0,0,1
8/2/2021,1,0,1,0,0,0,1
9/2/2021,1,1,1,0,1,0,1
10/2/2021,1,1,1,0,1,0,1
11/2/2021,1,1,1,0,1,0,1
13/2/2021,1,1,1,0,0,0,1
14/2/2021,1,1,1,0,0,0,1
15/2/2021,1,1,1,0,0,0,1
16/2/2021,1,1,1,0,0,0,0
17/2/2021,0,1,0,0,0,0,0
18/2/2021,1,1,1,0,0,0,1
19/2/2021,1,1,1,0,0,0,1
20/2/2021,1,1,1,0,0,0,1
21/2/2021,1,1,1,0,0,0,1
22/2/2021,1,1,1,0,0,0,1
23/2/2021,1,0,1,0,0,0,1
24/2/2021,1,0,1,0,1,0,1
25/2/2021,1,0,1,0,0,0,1
26/2/2021,1,0,1,0,0,0,1
27/2/2021,1,0,1,0,0,0,1
28/2/2021,1,0,1,0,0,0,0
3/3/2021,1,1,1,0,0,0,1
4/3/2021,1,1,1,0,0,0,1
5/3/2021,1,1,0,0,0,0,1
7/3/2021,1,0,0,0,0,0,0
8/3/2021,1,1,0,0,0,0,1
11/3/2021,1,1,1,0,0,0,1
12/3/2021,1,1,1,0,0,0,0
14/3/2021,1,1,1,0,0,1,1
15/3/2021,0,1,1,0,0,0,1
16/3/2021,1,1,1,0,0,0,1
17/3/2021,1,1,1,0,1,0,1
18/3/2021,0,0,0,0,0,0,0
28/3/2021,1,0,1,0,0,0,0
29/3/2021,1,1,1,0,0,1,1
30/3/2021,1,1,1,0,0,1,1
31/3/2021,1,1,1,0,0,0,1
1/4/2021,1,1,1,0,0,0,1
2/4/2021,0,1,1,0,1,0,1
3/4/2021,0,1,1,0,0,0,1
4/4/2021,1,1,1,0,0,0,1
5/4/2021,1,1,1,0,1,0,1
14/4/2021,1,1,0,0,0,0,1
15/4/2021,0,1,1,0,1,0,1
16/4/2021,0,1,0,0,1,0,1
17/4/2021,0,1,1,0,0,1,1
18/4/2021,1,0,1,0,0,1,1
19/4/2021,0,0,1,0,1,0,1
20/4/2021,0,0,1,0,1,0,1
21/4/2021,1,0,1,0,1,0,0
22/4/2021,1,0,1,0,1,0,1
23/4/2021,1,0,1,0,0,1,0
24/4/2021,1,0,1,0,0,0,1
25/4/2021,0,0,1,0,0,0,1
26/4/2021,1,0,1,0,0,1,1
27/4/2021,0,0,1,0,0,1,1
28/4/2021,0,1,1,0,1,0,1
29/4/2021,0,1,1,0,0,0,1
30/4/2021,0,1,1,1,1,0,1
2/5/2021,0,1,1,1,1,1,1
3/5/2021,1,1,1,1,1,0,1
4/5/2021,0,0,1,0,1,0,1
5/5/2021,1,1,1,1,1,0,1
6/5/2021,1,1,1,1,1,0,1
7/5/2021,0,0,1,1,1,1,1
8/5/2021,0,1,0,1,1,0,1
9/5/2021,0,1,1,1,1,0,1
10/5/2021,0,0,1,1,1,0,1
11/5/2021,0,1,1,1,0,1,1
12/5/2021,0,0,0,1,0,0,1
13/5/2021,0,0,0,1,0,0,1
14/5/2021,1,0,0,1,0,0,1
15/5/2021,1,0,0,1,0,0,1
16/5/2021,1,0,1,1,0,0,1
17/5/2021,1,0,1,1,1,1,1
18/5/2021,1,0,1,1,0,1,1
19/5/2021,0,0,1,1,0,0,1
20/5/2021,1,0,1,1,0,0,0
21/5/2021,0,1,0,1,0,0,1
22/5/2021,0,1,0,1,0,0,1
23/5/2021,1,0,0,1,0,0,0
26/5/2021,1,1,1,1,0,0,1
27/5/2021,1,1,0,1,0,0,1
28/5/2021,0,0,0,1,0,0,0
29/5/2021,1,0,1,1,0,0,1
30/5/2021,1,1,1,1,0,0,1
31/5/2021,1,0,1,1,0,0,1
1/6/2021,1,0,0,1,1,0,0
2/6/2021,0,0,0,1,1,0,1
3/6/2021,1,0,1,1,1,0,1
6/6/2021,1,1,0,1,1,0,1
7/6/2021,0,0,1,1,1,0,1
8/6/2021,1,0,0,1,0,0,0
9/6/2021,0,1,1,1,0,0,1
10/6/2021,1,1,1,1,0,0,1
11/6/2021,0,1,0,1,0,0,1
12/6/2021,0,1,0,1,0,0,1
13/6/2021,1,1,0,1,0,0,0
14/6/2021,1,1,0,1,1,0,0
15/6/2021,0,1,1,1,1,0,1
16/6/2021,0,1,0,1,0,0,1
17/6/2021,0,1,0,1,0,0,1
18/6/2021,0,1,0,1,0,0,1
19/6/2021,0,1,0,1,0,0,1
20/6/2021,1,1,0,1,0,0,0
21/6/2021,1,0,0,1,0,0,0
22/6/2021,0,1,0,1,0,0,0
23/6/2021,0,1,0,1,0,0,1
24/6/2021,0,0,0,1,0,0,0
25/6/2021,0,0,0,1,0,0,0
26/6/2021,0,0,0,1,0,0,0
27/6/2021,0,1,0,1,0,0,0
28/6/2021,1,1,0,1,1,0,1
29/6/2021,1,1,0,1,0,0,1
30/6/2021,0,1,0,1,0,0,1
1/7/2021,0,1,0,1,0,0,1
2/7/2021,0,1,0,1,0,0,1
3/7/2021,1,1,0,1,1,0,1
4/7/2021,0,1,0,1,0,0,1
5/7/2021,1,1,0,1,0,0,1
6/7/2021,1,1,0,1,0,0,1
7/7/2021,1,0,1,1,0,0,1
8/7/2021,0,0,0,1,0,0,1
9/7/2021,1,1,0,1,0,0,1
10/7/2021,1,1,1,1,0,0,0
11/7/2021,1,1,0,1,0,0,1
12/7/2021,0,0,0,1,0,0,0
13/7/2021,1,1,0,1,0,0,0
14/7/2021,0,0,0,1,0,0,0
15/7/2021,0,0,0,1,0,0,1
16/7/2021,0,0,0,1,0,0,0
17/7/2021,0,0,0,1,0,0,0
18/7/2021,1,0,0,1,0,0,1
19/7/2021,1,1,0,1,0,0,0
20/7/2021,1,0,0,1,0,0,0
21/7/2021,0,0,0,1,0,0,0
22/7/2021,0,1,0,1,0,0,1
23/7/2021,0,1,0,1,0,0,1
24/7/2021,0,1,1,1,1,0,1
25/7/2021,0,1,0,1,0,0,1
26/7/2021,1,1,0,1,1,0,1
28/7/2021,0,1,0,1,1,0,1
29/7/2021,0,1,1,1,1,0,1
